歌手|类别|地区|拼音|字数|点击率|笔画
吴淑敏|2|12|WSM|3|44|
张冬玲|2|11|ZDL|3|44|
张韶涵|2|12|ZSH|3|44|
张雷|1|11|ZL|2|43|
SOLER|3|12|S|1|42|
吕雯 |2|11|LW|2|42|
晓月|2|11|XY|2|42|
古巨基|1|12|GJJ|3|42|
刘嘉亮|1|12|LJL|3|42|
宋伶俐|2|11|SLL|3|42|
孙淑媚|2|12|SSM|3|41|
杨宗纬|1|12|YZW|3|41|
旭日阳刚|1|11|XRYG|4|41|
刘美君|2|12|LMJ|3|40|
梁心颐|2|12|LXY|3|40|
许嵩|1|11|XS|2|38|
梁佑嘉|2|12|LYJ|3|38|
王爱华|2|11|WAH|3|38|
周柏豪|1|12|ZBH|3|38|
王宏伟|1|11|WHW|3|37|
欢子|1|11|HZ|2|36|
庞龙|1|11|PL|2|36|
张寒 |1|11|ZH|2|36|
荒山亮|1|12|HSL|3|36|
林宥嘉|1|12|LYJ|3|36|
于台烟|2|12|YTY|3|36|
周笔畅|2|11|ZBC|3|36|
吴介贤|2|11|WJX|3|35|
沙莎|2|11|SS|2|34|
誓言|1|11|SY|2|34|
张婧|2|11|ZJ|2|34|
蔡卓妍|2|12|CZY|3|34|
季欣霈|2|12|JXP|3|34|
吉克隽逸|2|11|JKJY|4|33|
2NE1|3|20|ENY|1|32|
吉杰|1|11|JJ|2|32|
戴梅君|2|12|DMJ|3|32|
方大同|1|12|FDT|3|32|
方瑞娥|2|11|FRE|3|32|
金志文|1|11|JZW|3|32|
潘玮柏|1|12|PWB|3|32|
宋祖英|2|11|SZY|3|32|
S.H.E|3|12|SHE|1|31|
江志丰|1|12|JZF|3|31|
莫文蔚|2|12|MWW|3|31|
薛之谦|1|11|XZQ|3|31|
林姗|2|12|LS|2|30|
大嘴巴|3|12|DZB|3|30|
符琼音|2|12|FQY|3|30|
樊少华|1|11|FSH|3|30|
沈芳如|2|12|SFR|3|30|
六哲|1|11|LZ|2|29|
石梅|2|11|SM|2|29|
伍佰|1|12|WB|2|29|
Beast|1|20|B|1|28|
苏醒|1|11|SX|2|28|
李克勤|1|12|LKQ|3|28|
许慧欣|2|12|XHX|3|28|
叶熙祺|2|12|YXQ|3|28|
张秀卿|2|12|ZXQ|3|28|
司徒兰芳|2|11|STLF|4|28|
山下智久|1|20|SXZJ|4|28|
吉娜|2|11|JN|2|27|
福山雅治|1|20|FSYZ|4|27|
RubberBand|3|20|R|1|26|
4MINUTE|3|20|SM|1|26|
TWINS|3|12|T|1|26|
信|1|12|X|1|26|
Britney Spears|2|20|BS|2|26|
Teen Top|3|20|TT|2|26|
张博|1|11|ZB|2|26|
胡杰夕|1|11|HJX|3|26|
蓝奕邦|1|12|LYB|3|26|
沙宝亮|1|11|SBL|3|26|
吴涤清|1|12|WDQ|3|26|
杨钰莹|2|11|YYY|3|26|
慕容晓晓|2|11|MRXX|4|26|
斯琴高丽|2|11|SQGL|4|26|
田一龙|1|11|TYL|3|25|
萧亚轩|2|12|XYX|3|25|
PITBULL|1|20|P|1|24|
舒鸣|1|11|SM|2|24|
萧全|1|11|XQ|2|24|
傅振辉|1|12|FZH|3|24|
何韵诗|2|12|HYS|3|24|
李佳璐|2|11|LJL|3|24|
林欣彤|2|12|LXT|3|24|
刘向圆|1|11|LXY|3|24|
孟庭苇|2|12|MTW|3|24|
吴雨霏|2|12|WYF|3|24|
袁成杰|1|12|YCJ|3|24|
泽尔丹|1|11|ZED|3|24|
张芸京|2|12|ZYJ|3|24|
水木年华|3|11|SMNH|4|24|
羽泉|3|11|YQ|2|23|
范海荣|1|11|FHR|3|23|
熊宝贝乐团|3|11|XBBLT|5|23|
BEYONCE|2|20|B|1|22|
2PM|3|20|EP|1|22|
KARA|2|20|K|1|22|
白雪|2|11|BX|2|22|
孟杨|1|11|MY|2|22|
孙艳|2|11|SY|2|22|
万芳|2|12|WF|2|22|
子枫|1|11|ZF|2|22|
林俊杰|1|12|LJJ|3|22|
李明洋|1|12|LMY|3|22|
孙耀威|1|12|SYW|3|22|
薛凯琪|2|12|XKQ|3|22|
徐沛东|1|11|XPD|3|22|
庾澄庆|1|12|YCQ|3|22|
于金胜|1|11|YJS|3|22|
张震岳|1|12|ZZY|3|22|
红尘独舞|2|11|HCDW|4|22|
王岩|1|11|WY|2|21|
小宇|1|12|XY|2|21|
耿为华|1|11|GWH|3|21|
王祖蓝|1|12|WZL|3|21|
ALIN|2|12|A|1|20|
阿悄|2|11|AQ|2|20|
海生|1|11|HS|2|20|
后弦|1|11|HX|2|20|
泳儿|2|12|YE|2|20|
陈惠英|2|11|CHY|3|20|
花世纪|3|12|HSJ|3|20|
江若琳|2|12|JRL|3|20|
甲子慧|2|12|JZH|3|20|
李丹阳|2|11|LDY|3|20|
孟文豪|1|11|MWH|3|20|
徐健淇|1|11|XJQ|3|20|
郑欣宜|2|12|ZXY|3|20|
张信哲|1|12|ZXZ|3|20|
张智成|1|12|ZZC|3|20|
张智霖|1|12|ZZL|3|20|
少女时代|3|12|SNSD|4|20|
樊凡|1|11|FF|2|19|
LOTTE GIRLS|3|11|LG|2|19|
曾轶可|2|11|CYK|3|19|
SARA|2|12|S|1|18|
春雷|1|11|CL|2|18|
侧田|1|12|CT|2|18|
大芭|2|12|DB|2|18|
林凡|2|11|LF|2|18|
刘可|1|11|LK|2|18|
蒙克|1|11|MK|2|18|
Taylor Swift|2|20|TS|2|18|
张啸|1|11|ZX|2|18|
胡东清|1|11|HDQ|3|18|
洪荣宏|1|12|HRH|3|18|
林良欢|2|12|LLH|3|18|
蓝琪儿|2|11|LQE|3|18|
荣联合|1|11|RLH|3|18|
王乃恩|1|11|WNE|3|18|
许哲佩|2|12|XZP|3|18|
于乃久|1|11|YNJ|3|18|
宇桐非|1|11|YTF|3|18|
余文乐|1|12|YWL|3|18|
炎亚纶|1|12|YYL|3|18|
周传雄|1|12|ZCX|3|18|
阿尔斯楞|1|11|AESL|4|18|
办桌二人组|3|12|BZERZ|5|18|
SHINEE|3|20|S|1|17|
SHANIA TWAIN|2|20|ST|2|17|
常健鸿|1|11|CJH|3|17|
张佑赫|1|20|ZYH|3|17|
艾歌|1|11|AG|2|16|
康康|1|12|KK|2|16|
李韦|1|12|LW|2|16|
余天|1|12|YT|2|16|
依依|2|11|YY|2|16|
梁静茹|2|12|LJR|3|16|
梁咏琪|2|12|LYQ|3|16|
孙江枫|1|11|SJF|3|16|
覃飞宇|1|11|TFY|3|16|
詹曼铃|2|12|ZML|3|16|
清水翔太|1|20|QSXT|4|16|
琼雪卓玛|2|11|QXZM|4|16|
索朗扎西|1|90|SLZX|4|16|
网络歌手|1|90|WLGS|4|16|
猴子飞行员|3|12|HZFHY|5|16|
周燕君|2|11|ZYJ|3|15|
BOA|2|20|B|1|14|
BEYOND|3|12|B|1|14|
COLDPLAY|3|20|C|1|14|
Nickelback|3|20|N|1|14|
PSY|1|20|P|1|14|
董冬|2|11|DD|2|14|
李雪|2|11|LX|2|14|
蓝雨|1|90|LY|2|14|
MARIAH CAREY|2|20|MC|2|14|
温岚|2|12|WL|2|14|
卫兰|2|12|WL|2|14|
于洋|1|11|YY|2|14|
周迅|2|11|ZX|2|14|
戴爱玲|2|11|DAL|3|14|
蒋大为|1|11|JDW|3|14|
李贵府|1|11|LGF|3|14|
刘虹翎|2|12|LHL|3|14|
李香琴|2|12|LXQ|3|14|
苏永康|1|12|SYK|3|14|
王丽达|2|11|WLD|3|14|
翁立友|1|12|WLY|3|14|
小护士|3|12|XHS|3|14|
熊七梅|1|11|XQM|3|14|
小沈阳|1|11|XSY|3|14|
徐英恩|1|20|XYE|3|14|
杨千桦|2|12|YQH|3|14|
张娜拉|2|20|ZNL|3|14|
光良|1|12|GL|2|13|
罗中旭|1|11|LZX|3|13|
林贞熙|2|20|LZX|3|13|
BY2|3|12|BE|1|12|
CIARA|2|20|C|1|12|
ELLA|2|12|E|1|12|
Neyo|1|20|N|1|12|
COLBIE CAILLAT|2|20|CC|2|12|
曹方|2|11|CF|2|12|
东学|1|11|DX|2|12|
豪图|1|11|HT|2|12|
姜鹏|1|11|JP|2|12|
李辉|1|11|LH|2|12|
刘捷|2|11|LJ|2|12|
LINKIN PARK|3|20|LP|2|12|
Rick Ross|1|20|RR|2|12|
山野|1|11|SY|2|12|
张琛|2|11|ZC|2|12|
艾莉莎|2|11|ALS|3|12|
姜育恒|1|12|JYH|3|12|
罗百吉|1|12|LBJ|3|12|
刘和刚|1|11|LHG|3|12|
李心洁|2|12|LXJ|3|12|
罗心洁|2|90|LXJ|3|12|
李霄云|2|11|LXY|3|12|
南建雄|1|11|NJX|3|12|
倪雅丰|2|11|NYF|3|12|
潘晓峰|1|11|PXF|3|12|
苏打绿|3|12|SDL|3|12|
SUPER JUNIOR M|3||SJM|3|12|
田馥甄|2|12|TFZ|3|12|
吴克群|1|12|WKQ|3|12|
王力宏|1|12|WLH|3|12|
温兆伦|1|12|WZL|3|12|
姚贝娜|2|11|YBN|3|12|
袁咏琳|2|12|YYL|3|12|
宇宙人|3|12|YZR|3|12|
朱海君|2|12|ZHJ|3|12|
张惠妹|2|12|ZHM|3|12|
张继聪|1|11|ZJC|3|12|
朱紫娆|2|12|ZZR|3|12|
乱弹阿翔|1|12|LDAX|4|12|
苏勒亚其其格|2|11|SLYQQG|6|12|
MADONNA|2|20|M|1|11|
IU|3|20|I|1|10|
爱戴|2|11|AD|2|10|
BLOCK B|1|20|BB|2|10|
春天|2|11|CT|2|10|
GREEN DAY|3|20|GD|2|10|
格格|2|11|GG|2|10|
杭娇|2|90|HJ|2|10|
皓天|1|11|HT|2|10|
JUSTIN BIEBER|1|20|JB|2|10|
JAY Z|1|20|JZ|2|10|
罗钢|1|11|LG|2|10|
李健|1|11|LJ|2|10|
庞博|1|11|PB|2|10|
品冠|1|12|PG|2|10|
孙辉|1|11|SH|2|10|
孙楠|1|11|SN|2|10|
TIZZY BAC|3|12|TB|2|10|
汤潮|1|11|TC|2|10|
汪峰|1|11|WF|2|10|
小肥|1|12|XF|2|10|
许巍|1|11|XW|2|10|
熊英|2|11|XY|2|10|
燕妮|2|11|YN|2|10|
张瑶|2|11|ZY|2|10|
蔡旻佑|1|12|CMY|3|10|
关泽楠|1|11|GZN|3|10|
金亨俊|1|20|JHJ|3|10|
江映蓉|2|11|JYR|3|10|
廖昌永|1|11|LCY|3|10|
李慧珍|2|12|LHZ|3|10|
李家仁|1|11|LJR|3|10|
刘力扬|2|11|LLY|3|10|
凌志辉|2|90|LZH|3|10|
李志洲|1|11|LZZ|3|10|
欧阳靖|1|12|OYJ|3|10|
潘裕文|1|12|PYW|3|10|
潘越云|2|12|PYY|3|10|
沙靖杰|1|90|SJJ|3|10|
孙燕姿|2|12|SYZ|3|10|
田跃君|1|11|TYJ|3|10|
吴建豪|1|12|WJH|3|10|
吴文煜|2|11|WWY|3|10|
王铮亮|1|11|WZL|3|10|
萧淑慎|2|12|XSS|3|10|
周慧敏|2|12|ZHM|3|10|
张卫健|1|12|ZWJ|3|10|
朱梓骁|1|11|ZZX|3|10|
初音ミク|3|20|CY|4|10|
Sunny Hill|1|20|SH|2|9|
沈世爱|1|11|SSA|3|9|
AQUA|2|20|A|1|8|
BOB|3|20|B|1|8|
BOYZONE|3|20|B|1|8|
CNBLUE|3|20|C|1|8|
24Herbs|3|12|ESH|1|8|
HOTCHA|3|12|H|1|8|
敖都|2|11|AD|2|8|
AVRIL LAVIGNE|2|20|AL|2|8|
曹格|1|12|CG|2|8|
大哲|1|11|DZ|2|8|
郭玲|2|11|GL|2|8|
姜涛|1|11|JT|2|8|
Kanye West|1|20|KW|2|8|
林宝|2|12|LB|2|8|
凌峰|1|12|LF|2|8|
刘欢|1|11|LH|2|8|
MAROON 5|3|20|MW|2|8|
秋虹|1|11|QH|2|8|
RICKY MARTIN|1|20|RM|2|8|
TAIO CRUZ|1|20|TC|2|8|
吴琼|2|12|WQ|2|8|
小文|1|11|XW|2|8|
杨帆|1|11|YF|2|8|
杨洋|2|11|YY|2|8|
扬哲|1|12|YZ|2|8|
白智英|2|11|BZY|3|8|
常艾非|2|11|CAF|3|8|
蔡一杰|1|12|CYJ|3|8|
丁小芹|2|12|DXQ|3|8|
狄易达|1|12|DYD|3|8|
关楚耀|1|12|GCY|3|8|
官恩娜|2|12|GEN|3|8|
巩新亮|2|90|GXL|3|8|
何建清|1|11|HJQ|3|8|
金子乔|1|11|JZQ|3|8|
刘栋升|1|11|LDS|3|8|
林海峰|1|12|LHF|3|8|
刘思伟|1|11|LSW|3|8|
李晓杰|1|11|LXJ|3|8|
李翊君|2|12|LYJ|3|8|
乔任梁|1|11|QRL|3|8|
王栎鑫|1|11|WLX|3|8|
王若琪|2|12|WRQ|3|8|
伍思凯|1|12|WSK|3|8|
王禹锡|1|11|WYX|3|8|
王子鸣|1|11|WZM|3|8|
萧煌奇|1|12|XHQ|3|8|
杨臣刚|1|11|YCG|3|8|
游鸿明|1|12|YHM|3|8|
叶倩文|2|12|YQW|3|8|
余润泽|1|11|YRZ|3|8|
杨天宁|1|11|YTN|3|8|
杨小弈|1|11|YXY|3|8|
张德兰|2|11|ZDL|3|8|
詹雅雯|2|12|ZYW|3|8|
凡间精灵|2|11|FJJL|4|8|
至上励合|3|11|ZSLH|4|8|
五洲唱响乐团|3|12|WZCXLT|6|8|
安旭|1|11|AX|2|7|
KYLIE MINOGUE|2|20|KM|2|7|
囚鸟|2|11|QN|2|7|
王菲|2|12|WF|2|7|
吕继宏|1|11|LJH|3|7|
王铁峰|1|11|WTF|3|7|
ALI|2|20|A|1|6|
BUONO|3|20|B|1|6|
Boyfriend|3|20|B|1|6|
EMINEM|1|20|E|1|6|
GORILLAZ|1|20|G|1|6|
Incubus|1|20|I|1|6|
MONICA|2|20|M|1|6|
NONAME|1|11|N|1|6|
RIHANNA|2|20|R|1|6|
TANK|1|12|T|1|6|
Chris Brown|3|20|CB|2|6|
丁当|2|12|DD|2|6|
凤娘|2|12|FN|2|6|
枫桥|1|11|FQ|2|6|
关喆|1|11|GZ|2|6|
洪立|1|12|HL|2|6|
JENNIFER HUDSON|2|20|JH|2|6|
侃侃|2|11|KK|2|6|
李炜|2|11|LW|2|6|
NE YO|1|20|NY|2|6|
七郎|1|12|QL|2|6|
苏路|2|12|SL|2|6|
田丰|1|11|TF|2|6|
TATA YOUNG|2|20|TY|2|6|
旺福|1|12|WF|2|6|
王麟|2|11|WL|2|6|
王旭|2|11|WX|2|6|
文章|1|12|WZ|2|6|
星弟|1|11|XD|2|6|
星宇|1|11|XY|2|6|
张翰|1|11|ZH|2|6|
张火|1|11|ZH|2|6|
周鹏|2|11|ZP|2|6|
张芯 |2|11|ZX|2|6|
张远|1|11|ZY|2|6|
方炯镔|1|12|FJB|3|6|
龚琳娜|2|11|GLN|3|6|
海鸣威|1|11|HMW|3|6|
梁汉文|1|12|LHW|3|6|
李俊熙|1|11|LJX|3|6|
刘若英|2|12|LRY|3|6|
毛阿敏|2|11|MAM|3|6|
米卫强|1|11|MWQ|3|6|
乌达木|1|11|WDM|3|6|
王亚平|2|11|WYP|3|6|
熊立红|2|11|XLH|3|6|
薛晓枫|2|90|XXF|3|6|
许永生|1|20|XYS|3|6|
易秀成|1|11|YXC|3|6|
张柏芝|2|12|ZBZ|3|6|
张大伟|1|11|ZDW|3|6|
张嘉洵|1|12|ZJX|3|6|
詹曼玲|2|12|ZML|3|6|
卓义峰|1|11|ZYF|3|6|
朱跃明|1|11|ZYM|3|6|
周子寒|2|11|ZZH|3|6|
麦霸阿杜|1|11|MBAD|4|6|
魔幻力量|3|12|MHLL|4|6|
浅语清吟|2|11|QYQY|4|6|
水晶乐坊|3|11|SJLF|4|6|
天孪兄弟|3|12|TLXD|4|6|
泽旺多吉|1|11|ZWDJ|4|6|
扎西尼玛|1|11|ZXNM|4|6|
いきものがかり|1|20||7|6|
Leona Lewis|2|20|LL|2|5|
肖飞|1|90|XF|2|5|
纪敏佳|2|11|JMJ|3|5|
张明敏|1|12|ZMM|3|5|
S翼乐团|3|12|SYLT|4|5|
CASCADA|2|20|C|1|4|
Example|1|20|E|1|4|
FTISLAND|3|20|F|1|4|
INFINITE|2|20|I|1|4|
JUJU|2|20|J|1|4|
KELIS|2|20|K|1|4|
MGMT|1|20|M|1|4|
NAVI|1|20|N|1|4|
SECRET|1|20|S|1|4|
Usher|1|20|U|1|4|
安琥|1|11|AH|2|4|
A PINK|1|20|AP|2|4|
阿温|1|11|AW|2|4|
C ALLSTAR|3|12|CA|2|4|
大刚|1|11|DG|2|4|
GARETH GATES|1|20|GG|2|4|
甘萍|2|11|GP|2|4|
广智|1|11|GZ|2|4|
洪颜|1|11|HY|2|4|
江蕙|2|12|JH|2|4|
李娜|2|11|LN|2|4|
蓝沁|2|11|LQ|2|4|
李正|1|20|LZ|2|4|
NEW BOYZ|3|20|NB|2|4|
农夫|3|12|NF|2|4|
南风|1|11|NF|2|4|
ROBBIE WILLIAMS|1|20|RW|2|4|
胜利|1|20|SL|2|4|
孙青|1|11|SQ|2|4|
司文|1|11|SW|2|4|
王杰|1|12|WJ|2|4|
王强|1|11|WQ|2|4|
叶凡|2|11|YF|2|4|
杨光|1|11|YG|2|4|
裕美|2|12|YM|2|4|
羽翘|1|20|YQ|2|4|
悠悠|2|11|YY|2|4|
周琦|1|11|ZQ|2|4|
周祥|1|90|ZX|2|4|
张悬|2|12|ZX|2|4|
安东阳|1|11|ADY|3|4|
安七炫|1|20|AQX|3|4|
BOYZ II MEN|3|20|BIM|3|4|
东城卫|3|12|DCW|3|4|
德德玛|2|11|DDM|3|4|
段千寻|1|11|DQX|3|4|
范玮琪|2|12|FWQ|3|4|
房勇国|1|20|FYG|3|4|
古天乐|1|12|GTL|3|4|
简迷离|3|11|JML|3|4|
姜玉阳|1|11|JYY|3|4|
李炳辰|1|12|LBC|3|4|
李春波|1|11|LCB|3|4|
林翠萍|2|12|LCP|3|4|
李玲玉|2|11|LLY|3|4|
黎明花|2|11|LMH|3|4|
李圣杰|1|12|LSJ|3|4|
林依晨|2|12|LYC|3|4|
林一峰|1|12|LYF|3|4|
林志颖|1|12|LZY|3|4|
李智英|2|20|LZY|3|4|
棉花糖|2|12|MHT|3|4|
潘美辰|2|12|PMC|3|4|
时金钰|1|11|SJY|3|4|
三木科|1|90|SMK|3|4|
苏志燮|1|20|SZX|3|4|
王若琳|2|12|WRL|3|4|
汪正正|1|11|WZZ|3|4|
向天问|1|11|XTW|3|4|
徐誉滕|1|11|XYT|3|4|
杨东煜|1|11|YDY|3|4|
俞灏明|1|11|YHM|3|4|
伊能静|2|12|YNJ|3|4|
张华敏|2|11|ZHM|3|4|
周彦宏|2|11|ZYH|3|4|
东京女子流|3|20|DJNZL|5|4|
石头剪子布|2|90|STJZB|5|4|
SUPER JUNIOR|3|20|SJ|2|3|
天籁天|1|11|TLT|3|3|
东方神起|3|20|DFSQ|4|3|
LMFAO|3|20|L|1|2|
NSYNC|3|20|N|1|2|
Rania|2|20|R|1|2|
TARA|2|20|T|1|2|
WESTLIFE|3|20|W|1|2|
183CLUB|3|12|YBSC|1|2|
ALEXANDRA BURKE|2|20|AB|2|2|
Ace Hood|1|20|AH|2|2|
宝儿|2|11|BE|2|2|
蔡晓|2|90|CX|2|2|
蔡妍|2|20|CY|2|2|
Darius Rucker|1|20|DR|2|2|
胡歌|1|11|HG|2|2|
胡力|1|11|HL|2|2|
Jason Derulo|1|20|JD|2|2|
KEYSHIA COLE|2|20|KC|2|2|
Kristinia DeBarge|3|20|KD|2|2|
林蔷|2|11|LQ|2|2|
吕薇|2|11|LW|2|2|
吕微|2|11|LW|2|2|
MICHAEL JACKSON|1|20|MJ|2|2|
MC梦|1|20|MM|2|2|
OWL CITY|3|20|OC|2|2|
ROBIN THICKE|1|20|RT|2|2|
水水|2|11|SS|2|2|
孙悦|2|11|SY|2|2|
吴昊|1|90|WH|2|2|
薛丹|2|11|XD|2|2|
小F4|3|12|XFS|2|2|
小凌|2|11|XL|2|2|
小雪|2|12|XX|2|2|
杨坤|1|11|YK|2|2|
艾梦萌|2|11|AMM|3|2|
八三夭|3|12|BSY|3|2|
BIG TIME RUSH|1|20|BTR|3|2|
曾春年|1|11|CCN|3|2|
陈后华|1|11|CHH|3|2|
曹轩宾|1|11|CXB|3|2|
戴梦梦|2|12|DMM|3|2|
范冰冰|2|11|FBB|3|2|
Funky Monkey Babys|3|20|FMB|3|2|
李福山|1|11|LFS|3|2|
卢海鹏|1|12|LHP|3|2|
李宗盛|1|12|LZS|3|2|
刘仲仪|1|11|LZY|3|2|
潘协庆|1|12|PXQ|3|2|
巧千金|3|11|QQJ|3|2|
3 DOORS DOWN|1|20|SDD|3|2|
徐静蕾|2|11|XJL|3|2|
徐若瑄|2|12|XRX|3|2|
叶贝文|2|11|YBW|3|2|
云菲菲|2|11|YFF|3|2|
杨沛宜|2|11|YPY|3|2|
叶一茜|2|11|YYQ|3|2|
周华健|1|12|ZHJ|3|2|
钟丽燕|2|11|ZLY|3|2|
张启辉|1|90|ZQH|3|2|
卓文萱|2|12|ZWX|3|2|
章小军|1|11|ZXJ|3|2|
后舍男生|3|11|HSNS|4|2|
李秋思雨|2|11|LQSY|4|2|
桑娜央金|2|11|SNYJ|4|2|
青燕子演唱组|3|11|QYZYCZ|6|2|
花美男株式会社|3|20|HMNZSHS|7|2|
草蜢|3|12|CM|2|1|
ANGGUN|2|20|A|1|0|
A-ONE|3|12|A|1|0|
AKON|1|20|A|1|0|
ALPHAVILLE|3|20|A|1|0|
ASHANTI|2|20|A|1|0|
AALIYAH|2|20|A|1|0|
ASWAD|3|20|A|1|0|
ALAN|2|11|A|1|0|
ASOS|3|12|A|1|0|
ALABAMA|3|20|A|1|0|
Alizee|2|20|A|1|0|
ABBA|3|20|A|1|0|
AIMINI|3|20|A|1|0|
alanismorissette|2|20|A|1|0|
ALEXIA|2|20|A|1|0|
A1|3|20|AY|1|0|
AT17|3|12|AYQ|1|0|
BELLA|1|20|B|1|0|
BOBO|3|12|B|1|0|
Bellefire|3|20|B|1|0|
BJACK|1|12|B|1|0|
BRANDY|2|20|B|1|0|
BILLIE|2|20|B|1|0|
BLONDIE|2|20|B|1|0|
BLUE|3|20|B|1|0|
BLISS|3|20|B|1|0|
Battle|1|20|B|1|0|
BIGMAMA|3|20|B|1|0|
BUDDY|3|20|B|1|0|
BEIGE|1|20|B|1|0|
Babyvox|3|20|B|1|0|
BRIAN|1|20|B|1|0|
BAD|3|12|B|1|0|
B2Y|3|20|BE|1|0|
8EIGHT|3|20|BE|1|0|
BEAUTY4|3|20|BS|1|0|
B1A4|3|20|BYS|1|0|
CARPENTERS|3|90|C|1|0|
CHAYANNE|1|20|C|1|0|
CREAM|3|12|C|1|0|
COOKIES|3|12|C|1|0|
CHIPMUNK|1|20|C|1|0|
CONNIE|2|11|C|1|0|
CHYNA|2|20|C|1|0|
CLOVER|3|20|C|1|0|
Commodores|3|20|C|1|0|
CHOCOLATE|1|20|C|1|0|
CHER|2|20|C|1|0|
CELINEDION|2|20|C|1|0|
CLAIRE|2|20|C|1|0|
DEEP|1|20|D|1|0|
DRBOMBAY|1|20|D|1|0|
DARA|2|20|D|1|0|
DIVA|3|12|D|1|0|
DIDO|2|20|D|1|0|
Daughtry|1|20|D|1|0|
DALMATIAN|1|20|D|1|0|
DESTINYSCHILD|3|20|D|1|0|
DNT|1|20|D|1|0|
DAVICHI|1|20|D|1|0|
ECHO|3|20|E|1|0|
ESTELLE|2|20|E|1|0|
ENYA|2|20|E|1|0|
ENERGY|3|12|E|1|0|
EMILIA|2|20|E|1|0|
2AM|2|20|EA|1|0|
EO2|3|12|EE|1|0|
2MORO|3|12|EM|1|0|
2R|3|12|ER|1|0|
FANTASIA|2|20|F|1|0|
FX|3|20|F|1|0|
flumpool|1|20|F|1|0|
FREEZE|3|20|F|1|0|
FIREHOUSE|3|20|F|1|0|
FOXY|1|20|F|1|0|
FLOBOTS|3|20|F|1|0|
FIRE|3|12|F|1|0|
Fergie|2|20|F|1|0|
F.I.R|3|12|FIR|1|0|
F4|3|12|FS|1|0|
GoGo/MEME|3|12|G|1|0|
GARBAGE|3|20|G|1|0|
GWENSTEFANI|2|20|G|1|0|
GUMMY|1|20|G|1|0|
HAM|1|20|H|1|0|
HITT|1|20|H|1|0|
HEGAK|1|20|H|1|0|
Heart|2|20|H|1|0|
HOLLYWILLIAMS|2|20|H|1|0|
INNA|2|20|I|1|0|
IVY|2|20|I|1|0|
JADE|1|20|J|1|0|
Jewelry|2|20|J|1|0|
JAM|3|20|J|1|0|
JEWEL|2|20|J|1|0|
JQT|1|20|J|1|0|
Jamelia|2|20|J|1|0|
JIGSAW|1|20|J|1|0|
JOO|1|20|J|1|0|
Journey|1|20|J|1|0|
KCM|1|20|K|1|0|
KESHA|2|20|K|1|0|
KINKS|3|20|K|1|0|
KRUSTY|3|12|K|1|0|
KISS|3|12|K|1|0|
Kolor|3|20|K|1|0|
KALVIN|1|11|K|1|0|
KIRORO|3|12|K|1|0|
LINDA|2|20|L|1|0|
LISA|2|12|L|1|0|
LARA|2|12|L|1|0|
LPG|3|20|L|1|0|
LMF|1|12|L|1|0|
6treg|1|20|LT|1|0|
M-GIRLS|3|11|M|1|0|
MLTR|3|20|M|1|0|
MBLAQ|1|20|M|1|0|
MONMON|2|11|M|1|0|
Mr|3|12|M|1|0|
MARIO|1|20|M|1|0|
MINI|2|20|M|1|0|
MayBee|1|20|M|1|0|
MADCON|1|20|M|1|0|
MACHI|3|20|M|1|0|
MIKA|1|20|M|1|0|
MPC|3|20|M|1|0|
MAKIYO|2|20|M|1|0|
MODONNA|2|20|M|1|0|
MCFLY|1|20|M|1|0|
MINK|1|20|M|1|0|
MAYA|2|20|M|1|0|
ME2|3|12|ME|1|0|
M2M|3|20|ME|1|0|
MP4|3|20|MS|1|0|
M3|3|20|MS|1|0|
NAZARETH|3|20|N|1|0|
NARSHA|2|20|N|1|0|
Nelly|1|20|N|1|0|
OSCAR|1|12|O|1|0|
PARAMORE|2|20|P|1|0|
PINK|2|20|P|1|0|
PRINCE|3|11|P|1|0|
ROBYN|2|20|R|1|0|
RAINBOW|2|20|R|1|0|
RUDENKO|2|20|R|1|0|
RAIDAS|3|20|R|1|0|
Reborn|3|20|R|1|0|
Rain|1|20|R|1|0|
SWEETY|3|20|S|1|0|
SUEDE|3|20|S|1|0|
SBDW|3|20|S|1|0|
STEPS|3|20|S|1|0|
SMAP|3|12|S|1|0|
SNOWMAN|1|20|S|1|0|
SUGABABES|3|20|S|1|0|
SPEED|3|12|S|1|0|
SHINEDOWN|1|20|S|1|0|
SKY|3|12|S|1|0|
STEPPENWOLF|3|20|S|1|0|
SAYA|2|12|S|1|0|
STYLISTICS|3|20|S|1|0|
SWING|3|12|S|1|0|
SEARCHERS|3|20|S|1|0|
SORI|2|20|S|1|0|
SHINE|3|20|S|1|0|
Stellar|1|20|S|1|0|
SUPREMES|3|20|S|1|0|
SISTAR|2|20|S|1|0|
SCANDAL|2|20|S|1|0|
SHONTELLE|2|20|S|1|0|
SHAKIRA|2|20|S|1|0|
SHAGGY|1|20|S|1|0|
Saturdays|2|20|S|1|0|
4MEN|1|20|SM|1|0|
3P|3|12|SP|1|0|
SE7EN|1|20|SQ|1|0|
3T|3|11|ST|1|0|
SS501|3|20|SWLY|1|0|
TORO|3|90|T|1|0|
Timbaland|1|20|T|1|0|
TOKIO|3|90|T|1|0|
TAE|1|12|T|1|0|
TLC|3|20|T|1|0|
TRAX|1|20|T|1|0|
TENSION|3|20|T|1|0|
TOP|3|20|T|1|0|
VITAS|1|20|V|1|0|
VNT|1|20|V|1|0|
Wisin|1|20|W|1|0|
Wham|1|20|W|1|0|
