编号|歌名|歌手|语别|类别|拼音|字数|笔画|新歌|版本|原唱音轨|音量|点击率|时长
35000100|High歌[黄龄/张玮]|中国好声音|1|1|HG|2|1|1|1|0|60|0|00:00
35000101|哎呀姑娘(MTV)[黄勇]|中国好声音|1|1|AYGN|4|2255|1|1|0|60|0|00:00
35000102|爱输给了谁(MTV)[黄勇]|中国好声音|1|1|ASGLS|5|31554|1|1|0|60|0|00:00
35000103|泪落之夏(MTV)[黄勇深/叶筱萱]|中国好声音|1|1|LLZX|4|4141|1|1|0|60|0|00:00
35000104|天地在我心[吉克隽逸/刘欢]|中国好声音|1|1|TDZWX|5|11134|1|1|0|60|0|00:00
35000105|Sexy Music(冬天里的一把火)[吉克隽逸/刘昊霖]|中国好声音||1|SM|2|0|1|1|0|60|0|00:00
35000107|Halo[吉克隽逸]|中国好声音|1|1|H|1|0|1|1|0|60|0|00:00
35000108|不要怕[吉克隽逸]|中国好声音|1|1|BYP|3|114|1|1|0|60|0|00:00
35000109|带我到山顶[吉克隽逸]|中国好声音|1|1|DWDSD|5|13121|1|1|0|60|0|00:00
35000110|情深意长[吉克隽逸]|中国好声音|1|1|QSYC|4|4443|1|1|0|60|0|00:00
35000111|痴心不改(演唱会)[金池]|中国好声音|1|1|CXBG|4|4415|1|1|0|60|0|00:00
35000112|后知后觉[金池]|中国好声音|1|1|HZHJ|4|3334|1|1|0|60|0|00:00
35000113|肩上蝶(MTV)[金志文/汤晓菲]|中国好声音|1|1|JSD|3|422|1|1|0|60|0|00:00
35000114|兄弟[金志文/杨坤]|中国好声音|1|1|XD|2|24|1|1|0|60|0|00:00
35000115|山沟沟[金志文]|中国好声音|1|1|SGG|3|244|1|1|0|60|0|00:00
35000116|我想大声告诉你(演唱会)[金志文]|中国好声音|1|1|WXDSGSN|7|3111343|1|1|0|60|0|00:00
35000117|最浪漫的事[金志文]|中国好声音|1|1|ZLMDS|5|24431|1|1|0|60|0|00:00
35000118|末日不孤单[HD](MTV)[李代沫/陈浩轩]|中国好声音|1|1|MRBGD|5|12154|1|1|0|60|0|00:00
35000119|到不了[李代沫]|中国好声音|1|1|DBL|3|115|1|1|0|60|0|00:00
35000120|感恩的心(MTV)[李代沫]|中国好声音|1|1|GEDX|4|1234|1|1|0|60|0|00:00
35000121|哭了(MTV)[李代沫]|中国好声音|1|1|KL|2|25|1|1|0|60|0|00:00
35000122|千言万语(MTV)[李代沫]|中国好声音|1|1|QYWY|4|3414|1|1|0|60|0|00:00
35000123|听说爱情回来过(MTV)[李代沫]|中国好声音|1|1|TSAQHLG|7|2434211|1|1|0|60|0|00:00
